bbl,address1,address2,zip,status1,status2,status3
2023670001,488 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2023670011,508 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2023670017,510 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2023670020,514 E 163RD ST,,10451,MULTIPLE DWELLING A,,
2023790026,777 ELTON AVE,,10451,MULTIPLE DWELLING A,,
2023790026,779 ELTON AVE,,10451,MULTIPLE DWELLING A,,
2023810045,830 ELTON AVE,,10451,MULTIPLE DWELLING A,,
2023827501,871 ELTON AVE,,10451,MULTIPLE DWELLING A,,
2024730001,690 GERARD AVE,,10451,MULTIPLE DWELLING A,,
2024820060,691 GERARD AVE,,10451,MULTIPLE DWELLING A,,
2024730012,710 GERARD AVE,,10451,MULTIPLE DWELLING A,,
2024730048,724 GERARD AVE,721 WALTON AVE,10451,MULTIPLE DWELLING A,,
2024820040,731 GERARD AVE,,10451,MULTIPLE DWELLING A,,
2024730043,740 GERARD AVE,735 WALTON AVE,10451,MULTIPLE DWELLING A,,
2024820030,751 GERARD AVE,,10451,MULTIPLE DWELLING A,,
2024830023,815 GERARD AVE,107-119 E 157TH ST,10451,MULTIPLE DWELLING A,,
2024830015,825 GERARD AVE,90 E 158TH ST,10451,MULTIPLE DWELLING A,,
2024830059,831 GERARD AVE,,10451,MULTIPLE DWELLING A,,
2024830053,845 GERARD AVE,,10451,MULTIPLE DWELLING A,,
2024610090,,,10451,MULTIPLE DWELLING A,,
2024610094,,,10451,MULTIPLE DWELLING A,,
2023430010,,,10451,MULTIPLE DWELLING A,,
2023430012,,,10451,MULTIPLE DWELLING A,,
2024580016,,,10451,MULTIPLE DWELLING A,,
2024580025,,,10451,MULTIPLE DWELLING A,,
2024580026,,160 E 156TH ST,10451,MULTIPLE DWELLING A,,
2024580072,,,10451,MULTIPLE DWELLING A,,
2024580080,,,10451,MULTIPLE DWELLING A,,
2024580085,,,10451,MULTIPLE DWELLING A,,
2024580090,,,10451,MULTIPLE DWELLING A,,
2024590001,,,10451,MULTIPLE DWELLING A,,
2024590030,,,10451,MULTIPLE DWELLING A,NON-EVICT COOP/COND,
2024590034,,,10451,MULTIPLE DWELLING A,,
2024610007,,,10451,MULTIPLE DWELLING A,SEC 608,
2024610045,,161 E 163RD ST,10451,MULTIPLE DWELLING A,,
2024610058,,,10451,MULTIPLE DWELLING A,,
2024030035,747 MELROSE AVE,,10451,MULTIPLE DWELLING A,,
2023780001,760 MELROSE AVE,,10451,MULTIPLE DWELLING A,J-51,
2024040024,769 MELROSE AVE,,10451,MULTIPLE DWELLING A,,
2024040018,779 MELROSE AVE,390 E 158TH ST,10451,MULTIPLE DWELLING A,,
2023800001,802 MELROSE AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2024070023,863 MELROSE AVE,383-387 E 160TH ST,10451,MULTIPLE DWELLING A,,
2023830003,896 MELROSE AVE,,10451,MULTIPLE DWELLING A,,
2023840007,920 MELROSE AVE,,10451,MULTIPLE DWELLING A,,
2023840008,922 MELROSE AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023310006,560 MORRIS AVE,,10451,MULTIPLE DWELLING A,,
2023310007,562 MORRIS AVE,,10451,MULTIPLE DWELLING A,,
2024410200,655 MORRIS AVE,,10451,MULTIPLE DWELLING A,421-A,
2024420034,673-675 MORRIS AVE,,10451,MULTIPLE DWELLING A,,
2024210011,904 MORRIS AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2024420060,2996-3004 PARK AVE,,10451,MULTIPLE DWELLING A,,
2024210036,3201-3213 PARK AVE,,10451,MULTIPLE DWELLING A,J-51,
2024610035,909 SHERIDAN AVE,,10451,MULTIPLE DWELLING A,J-51,
2024540011,910 SHERIDAN AVE,,10451,MULTIPLE DWELLING A,J-51,
2024610022,917 SHERIDAN AVE,,10451,MULTIPLE DWELLING A,,
2024540019,930 SHERIDAN AVE,,10451,MULTIPLE DWELLING A,,
2023520051,557 WALTON AVE,,10451,MULTIPLE DWELLING A,ROOMING HOUSE,
2024730055,711 WALTON AVE,,10451,MULTIPLE DWELLING A,,
2024730033,751 WALTON AVE,120-128 E 157TH ST,10451,MULTIPLE DWELLING A,,
2024740028,835 WALTON AVE,,10451,MULTIPLE DWELLING A,,
2024740049,853 WALTON AVE,,10451,MULTIPLE DWELLING A,,
2024740046,865 WALTON AVE,,10451,MULTIPLE DWELLING A,,
2025080031,1035 ANDERSON AVE,,10452,MULTIPLE DWELLING A,421-A,
2025040094,1038-1040 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025040094,1050-1052 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025050001,1060 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
